# API Endpoint Database - CSV Format

## Copy this into Excel/Google Sheets for quick reference

```csv
Endpoint ID,Endpoint Path,HTTP Method,Auth Role,Subsystem,Frontend Service,Frontend Implemented,Response Format,Status,Priority,Notes
1,/api/auth/register,POST,PUBLIC,Auth,authAPI,YES,ApiResponse,OK,CRITICAL,Core signup
2,/api/auth/login,POST,PUBLIC,Auth,authAPI,YES,ApiResponse,OK,CRITICAL,Core login
3,/api/auth/refresh,POST,PUBLIC,Auth,authAPI,YES,ApiResponse,OK,CRITICAL,Token refresh
4,/api/auth/logout,POST,AUTHENTICATED,Auth,authAPI,YES,ApiResponse,OK,CRITICAL,Session logout
5,/api/auth/change-password,POST,AUTHENTICATED,Auth,authAPI,YES,ApiResponse,OK,CRITICAL,Password change
6,/api/auth/forgot-password,POST,PUBLIC,Auth,authAPI,NO,ApiResponse,MISSING,HIGH,Password reset flow
7,/api/auth/reset-password,POST,PUBLIC,Auth,authAPI,NO,ApiResponse,MISSING,HIGH,Complete password reset
8,/api/auth/otp/generate,POST,PUBLIC,Auth,authAPI,NO,ApiResponse,MISSING,HIGH,OTP generation for security
9,/api/auth/otp/verify,POST,PUBLIC,Auth,authAPI,NO,ApiResponse,MISSING,HIGH,OTP verification
10,/api/accounts,POST,EMPLOYEE+,Account,accountAPI,NO,ApiResponse,MISSING,HIGH,Create new account
11,/api/accounts,GET,CUSTOMER+,Account,accountAPI,YES,PageResponse,OK,CRITICAL,List accounts
12,/api/accounts/{accountNumber},GET,CUSTOMER+,Account,accountAPI,YES,ApiResponse,OK,CRITICAL,View single account
13,/api/accounts/{accountNumber}/balance,GET,CUSTOMER+,Account,accountAPI,YES,Map,INCONSISTENT,MEDIUM,Returns Map not ApiResponse
14,/api/accounts/{accountNumber}/statement,GET,CUSTOMER+,Account,accountAPI,YES,PageResponse,OK,CRITICAL,Full statement with pagination
15,/api/accounts/{accountNumber}/mini-statement,GET,CUSTOMER+,Account,accountAPI,YES,List,INCONSISTENT,MEDIUM,Returns List not ApiResponse
16,/api/accounts/{accountNumber}/passbook,GET,CUSTOMER+,Account,accountAPI,YES,PageResponse,OK,CRITICAL,Passbook view
17,/api/accounts/{id}/approve,PATCH,EMPLOYEE+,Account,accountAPI,NO,ApiResponse,MISSING,MEDIUM,Account approval workflow
18,/api/accounts/{id}/freeze,PATCH,EMPLOYEE+,Account,accountAPI,NO,ApiResponse,MISSING,MEDIUM,Freeze account
19,/api/accounts/{id}/unfreeze,PATCH,EMPLOYEE+,Account,accountAPI,NO,ApiResponse,MISSING,MEDIUM,Unfreeze account
20,/api/accounts/{id}/block,PATCH,MANAGER+,Account,accountAPI,NO,ApiResponse,MISSING,MEDIUM,Block account
21,/api/accounts/{id}/unblock,PATCH,MANAGER+,Account,accountAPI,NO,ApiResponse,MISSING,MEDIUM,Unblock account
22,/api/accounts/{id}/close,PATCH,MANAGER+,Account,accountAPI,NO,ApiResponse,MISSING,MEDIUM,Close account
23,/api/accounts/{id}/reactivate,PATCH,EMPLOYEE+,Account,accountAPI,NO,ApiResponse,MISSING,MEDIUM,Reactivate account
24,/api/transfers/self,POST,CUSTOMER,Transfer,transferAPI,YES,ApiResponse,OK,CRITICAL,Self account transfer
